Brand,Origin,Characteristics,Preparation Method
Kona,Fazenda Primavera,Chocolatey,Clever
Typica,Lavras,Full Body,French Press
Bourbon,Varginha,Floral,Italiana
Caturra,Poços de Caldas,Sweet Aftertaste,Espresso
Catuai,Carmo de Minas,Bright Acidity,Hario V60
SL28,Fazenda Vista Alegre,Fruity,Clever
SL34,Fazenda Primavera,Nutty,French Press
Pacamara,Serra Negra,Caramel,Italiana
Gesha,Fazenda Monte Verde,Bright Acidity,Espresso
Maragogipe,Araguari,Earthy,Hario V60
Mundo Novo,Fazenda Santa Clara,Full Body,Clever
Yellow Bourbon,Guaxupé,Floral,French Press
Red Bourbon,Fazenda Paraíso,Balanced,Italiana
Ethiopian Heirloom,Carmo de Minas,Chocolatey,Espresso
Villalobos,Patrocínio,Chocolatey,Hario V60
Java,Varginha,Full Body,Clever
Blue Mountain,Santa Rita do Sapucaí,Balanced,French Press
Kona,Patrocínio,Smokey,Italiana
Typica,Guaxupé,Smooth Finish,Espresso
Bourbon,Fazenda Paraíso,Fruity,Hario V60
Caturra,Fazenda Vista Alegre,Fruity,Clever
Catuai,Fazenda Monte Verde,Smooth Finish,French Press
SL28,Fazenda Primavera,Smokey,Italiana
SL34,Fazenda Paraíso,Chocolatey,Espresso
Pacamara,Carmo de Minas,Earthy,Hario V60
Gesha,Itamogi,Citrusy,Clever
Maragogipe,Fazenda Serrinha,Citrusy,French Press
Mundo Novo,Fazenda Boa Esperança,Fruity,Italiana
Yellow Bourbon,Santa Rita do Sapucaí,Earthy,Espresso
Red Bourbon,Fazenda Primavera,Citrusy,Hario V60
Ethiopian Heirloom,Varginha,Citrusy,Clever
Villalobos,Três Pontas,Nutty,French Press
Java,Fazenda Serrinha,Earthy,Italiana
Blue Mountain,Fazenda Monte Verde,Full Body,Espresso
Kona,São Sebastião do Paraíso,Smokey,Hario V60
Typica,Itamogi,Nutty,Clever
Bourbon,Fazenda Vista Alegre,Nutty,French Press
Caturra,Fazenda Boa Esperança,Sweet Aftertaste,Italiana
Catuai,Carmo de Minas,Smooth Finish,Espresso
SL28,Poços de Caldas,Full Body,Hario V60
SL34,Fazenda Boa Esperança,Citrusy,Clever
Pacamara,Varginha,Full Body,French Press
Gesha,Itamogi,Floral,Italiana
Maragogipe,Varginha,Spicy,Espresso
Mundo Novo,Três Pontas,Sweet Aftertaste,Hario V60
Yellow Bourbon,Araguari,Bright Acidity,Clever
Red Bourbon,São Sebastião do Paraíso,Full Body,French Press
Ethiopian Heirloom,Fazenda Paraíso,Caramel,Italiana
Villalobos,Araguari,Citrusy,Espresso
Java,Fazenda Santa Clara,Smokey,Hario V60
Blue Mountain,Lavras,Bright Acidity,Clever
Kona,Itamogi,Spicy,French Press
Typica,Poços de Caldas,Spicy,Italiana
Bourbon,Serra Negra,Earthy,Espresso
Caturra,Fazenda Boa Esperança,Smokey,Hario V60
Catuai,Fazenda Vista Alegre,Bright Acidity,Clever
SL28,Fazenda Serrinha,Chocolatey,French Press
SL34,Varginha,Nutty,Italiana
Pacamara,Fazenda Paraíso,Nutty,Espresso
Gesha,Santa Rita do Sapucaí,Floral,Hario V60
Maragogipe,Poços de Caldas,Caramel,Clever
Mundo Novo,São Sebastião do Paraíso,Citrusy,French Press
Yellow Bourbon,Três Pontas,Bright Acidity,Italiana
Red Bourbon,Lavras,Full Body,Espresso
Ethiopian Heirloom,Santa Rita do Sapucaí,Smooth Finish,Hario V60
Villalobos,Fazenda Primavera,Rich Flavor,Clever
Java,Fazenda Serrinha,Smooth Finish,French Press
Blue Mountain,Serra Negra,Caramel,Italiana
Kona,Patrocínio,Rich Flavor,Espresso
Typica,Fazenda Santa Clara,Floral,Hario V60
Bourbon,Poços de Caldas,Nutty,Clever
Caturra,Fazenda Santa Clara,Nutty,French Press
Catuai,Lavras,Bright Acidity,Italiana
SL28,Fazenda Serrinha,Nutty,Espresso
SL34,Fazenda Primavera,Smooth Finish,Hario V60
Pacamara,Fazenda Paraíso,Floral,Clever
Gesha,Fazenda Santa Clara,Chocolatey,French Press
Maragogipe,Três Pontas,Nutty,Italiana
Mundo Novo,Araguari,Full Body,Espresso
Yellow Bourbon,Fazenda Paraíso,Earthy,Hario V60
Red Bourbon,Santa Rita do Sapucaí,Floral,Clever
Ethiopian Heirloom,Varginha,Citrusy,French Press
Villalobos,São Sebastião do Paraíso,Earthy,Italiana
Java,Três Pontas,Sweet Aftertaste,Espresso
Blue Mountain,Poços de Caldas,Nutty,Hario V60
Kona,São Sebastião do Paraíso,Caramel,Clever
Typica,Fazenda Vista Alegre,Smooth Finish,French Press
Bourbon,Araguari,Caramel,Italiana
Caturra,Fazenda Monte Verde,Smokey,Espresso
Catuai,Patrocínio,Nutty,Hario V60
SL28,Fazenda Serrinha,Citrusy,Clever
SL34,Guaxupé,Rich Flavor,French Press
Pacamara,Varginha,Caramel,Italiana
Gesha,Fazenda Vista Alegre,Bright Acidity,Espresso
Maragogipe,Poços de Caldas,Full Body,Hario V60
Mundo Novo,Itamogi,Smokey,Clever
Yellow Bourbon,Lavras,Caramel,French Press
Red Bourbon,Poços de Caldas,Bright Acidity,Italiana
Ethiopian Heirloom,Poços de Caldas,Smooth Finish,Espresso
Villalobos,Fazenda Primavera,Rich Flavor,Hario V60
Java,Fazenda Santa Clara,Smokey,Clever
Blue Mountain,Araguari,Nutty,French Press
Kona,Varginha,Balanced,Italiana
Typica,Fazenda Paraíso,Chocolatey,Espresso
Bourbon,Fazenda Vista Alegre,Floral,Hario V60
Caturra,Itamogi,Smooth Finish,Clever
Catuai,Carmo de Minas,Smooth Finish,French Press
SL28,Serra Negra,Fruity,Italiana
SL34,Serra Negra,Spicy,Espresso
Pacamara,Santa Rita do Sapucaí,Fruity,Hario V60
Gesha,Carmo de Minas,Citrusy,Clever
Maragogipe,Itamogi,Floral,French Press
Mundo Novo,Fazenda Boa Esperança,Smooth Finish,Italiana
Yellow Bourbon,Fazenda Boa Esperança,Citrusy,Espresso
Red Bourbon,Carmo de Minas,Rich Flavor,Hario V60
Ethiopian Heirloom,Três Pontas,Chocolatey,Clever
Villalobos,Serra Negra,Sweet Aftertaste,French Press
Java,Guaxupé,Bright Acidity,Italiana
Blue Mountain,Fazenda Primavera,Fruity,Espresso
Kona,Poços de Caldas,Earthy,Hario V60
Typica,Fazenda Boa Esperança,Citrusy,Clever
Bourbon,Varginha,Earthy,French Press
Caturra,Serra Negra,Spicy,Italiana
Catuai,Carmo de Minas,Balanced,Espresso
SL28,Lavras,Fruity,Hario V60
SL34,Varginha,Smokey,Clever
Pacamara,Poços de Caldas,Floral,French Press
Gesha,Três Pontas,Floral,Italiana
Maragogipe,Poços de Caldas,Smooth Finish,Espresso
Mundo Novo,Santa Rita do Sapucaí,Caramel,Hario V60
Yellow Bourbon,Araguari,Spicy,Clever
Red Bourbon,Lavras,Balanced,French Press
Ethiopian Heirloom,Fazenda Monte Verde,Smooth Finish,Italiana
Villalobos,Guaxupé,Balanced,Espresso
Java,Carmo de Minas,Citrusy,Hario V60
Blue Mountain,Fazenda São Luiz,Nutty,Clever
Kona,Fazenda Vista Alegre,Smokey,French Press
Typica,Fazenda Primavera,Nutty,Italiana
Bourbon,Fazenda Paraíso,Earthy,Espresso
Caturra,Fazenda Monte Verde,Nutty,Hario V60
Catuai,Fazenda Primavera,Sweet Aftertaste,Clever
SL28,Carmo de Minas,Floral,French Press
SL34,Itamogi,Rich Flavor,Italiana
Pacamara,Fazenda Boa Esperança,Bright Acidity,Espresso
Gesha,Fazenda São Luiz,Spicy,Hario V60
Maragogipe,Fazenda Paraíso,Smokey,Clever
Mundo Novo,Fazenda Paraíso,Sweet Aftertaste,French Press
Yellow Bourbon,São Sebastião do Paraíso,Chocolatey,Italiana
Red Bourbon,Fazenda São Luiz,Floral,Espresso
Ethiopian Heirloom,Patrocínio,Smokey,Hario V60
Villalobos,Fazenda São Luiz,Nutty,Clever
Java,Fazenda Paraíso,Fruity,French Press
Blue Mountain,São Sebastião do Paraíso,Caramel,Italiana
Kona,Poços de Caldas,Rich Flavor,Espresso
Typica,Três Pontas,Rich Flavor,Hario V60
Bourbon,Patrocínio,Caramel,Clever
Caturra,Fazenda São Luiz,Nutty,French Press
Catuai,São Sebastião do Paraíso,Smokey,Italiana
SL28,Fazenda Serrinha,Floral,Espresso
SL34,Araguari,Full Body,Hario V60
Pacamara,Santa Rita do Sapucaí,Caramel,Clever
Gesha,Carmo de Minas,Sweet Aftertaste,French Press
Maragogipe,Patrocínio,Balanced,Italiana
Mundo Novo,Lavras,Earthy,Espresso
Yellow Bourbon,Fazenda Monte Verde,Bright Acidity,Hario V60
Red Bourbon,Três Pontas,Rich Flavor,Clever
Ethiopian Heirloom,Três Pontas,Smooth Finish,French Press
Villalobos,Serra Negra,Full Body,Italiana
Java,Fazenda Vista Alegre,Fruity,Espresso
Blue Mountain,Fazenda São Luiz,Earthy,Hario V60
Kona,São Sebastião do Paraíso,Fruity,Clever
Typica,Araguari,Earthy,French Press
Bourbon,Fazenda Serrinha,Spicy,Italiana
Caturra,Varginha,Balanced,Espresso
Catuai,Araguari,Caramel,Hario V60
SL28,Serra Negra,Smokey,Clever
SL34,Fazenda Monte Verde,Smooth Finish,French Press
Pacamara,Lavras,Caramel,Italiana
Gesha,Lavras,Balanced,Espresso
Maragogipe,São Sebastião do Paraíso,Bright Acidity,Hario V60
Mundo Novo,São Sebastião do Paraíso,Nutty,Clever
Yellow Bourbon,Varginha,Full Body,French Press
Red Bourbon,Serra Negra,Caramel,Italiana
Ethiopian Heirloom,Fazenda Vista Alegre,Rich Flavor,Espresso
Villalobos,Serra Negra,Caramel,Hario V60
Java,Poços de Caldas,Bright Acidity,Clever
Blue Mountain,Serra Negra,Rich Flavor,French Press
Kona,Araguari,Smokey,Italiana
Typica,Fazenda Santa Clara,Citrusy,Espresso
Bourbon,Fazenda Vista Alegre,Citrusy,Hario V60
Caturra,Lavras,Sweet Aftertaste,Clever
Catuai,Fazenda Monte Verde,Fruity,French Press
SL28,Fazenda Santa Clara,Spicy,Italiana
SL34,Varginha,Balanced,Espresso
Pacamara,Varginha,Full Body,Hario V60
Gesha,Fazenda Paraíso,Spicy,Clever
Maragogipe,Fazenda Vista Alegre,Bright Acidity,French Press
Mundo Novo,Fazenda Paraíso,Balanced,Italiana
Yellow Bourbon,Fazenda Boa Esperança,Sweet Aftertaste,Espresso
Red Bourbon,Itamogi,Full Body,Hario V60
Ethiopian Heirloom,Araguari,Balanced,Clever
Villalobos,Fazenda Boa Esperança,Sweet Aftertaste,French Press
Java,Varginha,Earthy,Italiana
Blue Mountain,Serra Negra,Smokey,Espresso
Kona,Fazenda Vista Alegre,Sweet Aftertaste,Hario V60
Typica,Fazenda Vista Alegre,Sweet Aftertaste,Clever
Bourbon,Lavras,Caramel,French Press
Caturra,Santa Rita do Sapucaí,Floral,Italiana
Catuai,Serra Negra,Smooth Finish,Espresso
SL28,Fazenda Paraíso,Nutty,Hario V60
SL34,Fazenda Boa Esperança,Chocolatey,Clever
Pacamara,Fazenda Paraíso,Nutty,French Press
Gesha,Fazenda Serrinha,Smokey,Italiana
Maragogipe,Lavras,Earthy,Espresso
Mundo Novo,Serra Negra,Balanced,Hario V60
Yellow Bourbon,Fazenda Serrinha,Full Body,Clever
Red Bourbon,Serra Negra,Floral,French Press
Ethiopian Heirloom,Carmo de Minas,Spicy,Italiana
Villalobos,Varginha,Citrusy,Espresso
Java,Fazenda Serrinha,Rich Flavor,Hario V60
Blue Mountain,Fazenda São Luiz,Floral,Clever
Kona,Fazenda Boa Esperança,Smooth Finish,French Press
Typica,Santa Rita do Sapucaí,Sweet Aftertaste,Italiana
Bourbon,Guaxupé,Earthy,Espresso
Caturra,Lavras,Spicy,Hario V60
Catuai,Itamogi,Earthy,Clever
SL28,Fazenda Primavera,Sweet Aftertaste,French Press
SL34,Carmo de Minas,Floral,Italiana
Pacamara,Itamogi,Smooth Finish,Espresso
Gesha,Fazenda Santa Clara,Sweet Aftertaste,Hario V60
Maragogipe,São Sebastião do Paraíso,Caramel,Clever
Mundo Novo,Fazenda Primavera,Nutty,French Press
Yellow Bourbon,Fazenda Primavera,Balanced,Italiana
Red Bourbon,Santa Rita do Sapucaí,Fruity,Espresso
Ethiopian Heirloom,Itamogi,Smokey,Hario V60
Villalobos,Patrocínio,Caramel,Clever
Java,Fazenda Primavera,Spicy,French Press
Blue Mountain,Três Pontas,Floral,Italiana
Kona,Patrocínio,Caramel,Espresso
Typica,Fazenda Boa Esperança,Rich Flavor,Hario V60
Bourbon,Guaxupé,Smooth Finish,Clever
Caturra,Santa Rita do Sapucaí,Smokey,French Press
Catuai,Fazenda Vista Alegre,Caramel,Italiana
SL28,Guaxupé,Earthy,Espresso
SL34,Poços de Caldas,Balanced,Hario V60
Pacamara,Poços de Caldas,Citrusy,Clever
Gesha,Carmo de Minas,Caramel,French Press
Maragogipe,Fazenda Vista Alegre,Floral,Italiana
Mundo Novo,Fazenda Primavera,Chocolatey,Espresso
Yellow Bourbon,São Sebastião do Paraíso,Full Body,Hario V60
Red Bourbon,Itamogi,Smooth Finish,Clever
Ethiopian Heirloom,Araguari,Earthy,French Press
Villalobos,Guaxupé,Floral,Italiana
Java,Araguari,Caramel,Espresso
Blue Mountain,Poços de Caldas,Caramel,Hario V60
Kona,Araguari,Chocolatey,Clever
Typica,Fazenda Serrinha,Nutty,French Press
Bourbon,Fazenda Boa Esperança,Caramel,Italiana
Caturra,Fazenda Vista Alegre,Spicy,Espresso
Catuai,Fazenda Primavera,Bright Acidity,Hario V60
SL28,Fazenda Serrinha,Earthy,Clever
SL34,Fazenda Paraíso,Chocolatey,French Press
Pacamara,Fazenda Vista Alegre,Floral,Italiana
Gesha,Fazenda Santa Clara,Bright Acidity,Espresso
Maragogipe,Três Pontas,Caramel,Hario V60
Mundo Novo,Fazenda Boa Esperança,Chocolatey,Clever
Yellow Bourbon,Patrocínio,Sweet Aftertaste,French Press
Red Bourbon,Guaxupé,Nutty,Italiana
Ethiopian Heirloom,Fazenda Serrinha,Chocolatey,Espresso
Villalobos,Carmo de Minas,Citrusy,Hario V60
Java,Fazenda Monte Verde,Nutty,Clever
Blue Mountain,São Sebastião do Paraíso,Full Body,French Press
Kona,Fazenda São Luiz,Citrusy,Italiana
Typica,Varginha,Bright Acidity,Espresso
Bourbon,Patrocínio,Earthy,Hario V60
Caturra,Fazenda Vista Alegre,Floral,Clever
Catuai,Fazenda Serrinha,Rich Flavor,French Press
SL28,Três Pontas,Citrusy,Italiana
SL34,Fazenda Primavera,Caramel,Espresso
Pacamara,Fazenda São Luiz,Chocolatey,Hario V60
Gesha,Fazenda Boa Esperança,Full Body,Clever
Maragogipe,Guaxupé,Spicy,French Press
Mundo Novo,Carmo de Minas,Earthy,Italiana
Yellow Bourbon,Itamogi,Smokey,Espresso
Red Bourbon,Lavras,Smokey,Hario V60
Ethiopian Heirloom,Fazenda Monte Verde,Fruity,Clever
Villalobos,Poços de Caldas,Nutty,French Press
Java,Araguari,Floral,Italiana
Blue Mountain,Lavras,Sweet Aftertaste,Espresso
Kona,Guaxupé,Smooth Finish,Hario V60
Typica,Fazenda Monte Verde,Chocolatey,Clever
Bourbon,Carmo de Minas,Spicy,French Press
Caturra,Fazenda São Luiz,Citrusy,Italiana
Catuai,Fazenda Boa Esperança,Floral,Espresso
SL28,Fazenda São Luiz,Rich Flavor,Hario V60
SL34,Fazenda Vista Alegre,Rich Flavor,Clever
Pacamara,Fazenda São Luiz,Smooth Finish,French Press
Gesha,Fazenda São Luiz,Full Body,Italiana
Maragogipe,Santa Rita do Sapucaí,Floral,Espresso
Mundo Novo,Santa Rita do Sapucaí,Rich Flavor,Hario V60
Yellow Bourbon,Fazenda Serrinha,Earthy,Clever
Red Bourbon,São Sebastião do Paraíso,Caramel,French Press
Ethiopian Heirloom,Fazenda Primavera,Fruity,Italiana
Villalobos,Varginha,Chocolatey,Espresso
Java,Fazenda Serrinha,Earthy,Hario V60
Blue Mountain,Patrocínio,Sweet Aftertaste,Clever
Kona,Poços de Caldas,Smooth Finish,French Press
Typica,Patrocínio,Bright Acidity,Italiana
Bourbon,Carmo de Minas,Citrusy,Espresso
Caturra,Poços de Caldas,Smokey,Hario V60
Catuai,Fazenda Serrinha,Smooth Finish,Clever
SL28,Araguari,Bright Acidity,French Press
SL34,Patrocínio,Bright Acidity,Italiana
Pacamara,Poços de Caldas,Spicy,Espresso
Gesha,Fazenda Paraíso,Floral,Hario V60
Maragogipe,São Sebastião do Paraíso,Smokey,Clever
Mundo Novo,Fazenda Vista Alegre,Citrusy,French Press
Yellow Bourbon,Patrocínio,Citrusy,Italiana
Red Bourbon,Serra Negra,Balanced,Espresso
Ethiopian Heirloom,Serra Negra,Citrusy,Hario V60
Villalobos,Poços de Caldas,Full Body,Clever
Java,Patrocínio,Earthy,French Press
Blue Mountain,Três Pontas,Smokey,Italiana
Kona,Fazenda Boa Esperança,Spicy,Espresso
Typica,Fazenda Serrinha,Citrusy,Hario V60
Bourbon,Fazenda São Luiz,Citrusy,Clever
Caturra,Araguari,Full Body,French Press
Catuai,Fazenda Paraíso,Rich Flavor,Italiana
SL28,Fazenda Santa Clara,Nutty,Espresso
SL34,Carmo de Minas,Rich Flavor,Hario V60
Pacamara,Três Pontas,Fruity,Clever
Gesha,Fazenda Paraíso,Floral,French Press
Maragogipe,Lavras,Earthy,Italiana
Mundo Novo,Poços de Caldas,Chocolatey,Espresso
Yellow Bourbon,Três Pontas,Nutty,Hario V60
Red Bourbon,Araguari,Caramel,Clever
Ethiopian Heirloom,Fazenda Boa Esperança,Bright Acidity,French Press
Villalobos,Araguari,Smooth Finish,Italiana
Java,Três Pontas,Smokey,Espresso
Blue Mountain,Patrocínio,Chocolatey,Hario V60
Kona,São Sebastião do Paraíso,Nutty,Clever
Typica,Guaxupé,Citrusy,French Press
Bourbon,Fazenda Serrinha,Sweet Aftertaste,Italiana
Caturra,Serra Negra,Balanced,Espresso
Catuai,Carmo de Minas,Sweet Aftertaste,Hario V60
SL28,Santa Rita do Sapucaí,Citrusy,Clever
SL34,Fazenda Primavera,Rich Flavor,French Press
Pacamara,Fazenda Boa Esperança,Earthy,Italiana
Gesha,Fazenda Primavera,Chocolatey,Espresso
Maragogipe,Guaxupé,Citrusy,Hario V60
Mundo Novo,Guaxupé,Earthy,Clever
Yellow Bourbon,Fazenda Vista Alegre,Spicy,French Press
Red Bourbon,Carmo de Minas,Sweet Aftertaste,Italiana
Ethiopian Heirloom,Fazenda Boa Esperança,Bright Acidity,Espresso
Villalobos,Guaxupé,Smooth Finish,Hario V60
Java,Patrocínio,Chocolatey,Clever
Blue Mountain,Varginha,Spicy,French Press
Kona,Araguari,Chocolatey,Italiana
Typica,Carmo de Minas,Earthy,Espresso
Bourbon,Guaxupé,Rich Flavor,Hario V60
Caturra,Fazenda Vista Alegre,Bright Acidity,Clever
Catuai,Fazenda Serrinha,Smooth Finish,French Press
SL28,São Sebastião do Paraíso,Smooth Finish,Italiana
SL34,Poços de Caldas,Citrusy,Espresso
Pacamara,Guaxupé,Floral,Hario V60
Gesha,Guaxupé,Floral,Clever
Maragogipe,Santa Rita do Sapucaí,Sweet Aftertaste,French Press
Mundo Novo,Patrocínio,Bright Acidity,Italiana
Yellow Bourbon,Itamogi,Bright Acidity,Espresso
Red Bourbon,Fazenda Boa Esperança,Smooth Finish,Hario V60
Ethiopian Heirloom,Serra Negra,Smokey,Clever
Villalobos,Fazenda Santa Clara,Caramel,French Press
Java,Fazenda Santa Clara,Caramel,Italiana
Blue Mountain,Carmo de Minas,Floral,Espresso
Kona,Três Pontas,Citrusy,Hario V60
Typica,Patrocínio,Fruity,Clever
Bourbon,Fazenda Monte Verde,Smokey,French Press
Caturra,Santa Rita do Sapucaí,Balanced,Italiana
Catuai,São Sebastião do Paraíso,Fruity,Espresso
SL28,Itamogi,Smooth Finish,Hario V60
SL34,Itamogi,Earthy,Clever
Pacamara,Varginha,Rich Flavor,French Press
Gesha,Varginha,Caramel,Italiana
Maragogipe,Fazenda Santa Clara,Bright Acidity,Espresso
Mundo Novo,Varginha,Floral,Hario V60
Yellow Bourbon,Três Pontas,Floral,Clever
Red Bourbon,Fazenda Monte Verde,Caramel,French Press
Ethiopian Heirloom,Fazenda Monte Verde,Floral,Italiana
Villalobos,Lavras,Smokey,Espresso
Java,São Sebastião do Paraíso,Full Body,Hario V60
Blue Mountain,Fazenda Boa Esperança,Fruity,Clever
Kona,Fazenda São Luiz,Floral,French Press
Typica,Fazenda Monte Verde,Earthy,Italiana
Bourbon,Três Pontas,Balanced,Espresso
Caturra,Fazenda Boa Esperança,Chocolatey,Hario V60
Catuai,Poços de Caldas,Floral,Clever
SL28,Serra Negra,Citrusy,French Press
SL34,Fazenda Serrinha,Sweet Aftertaste,Italiana
Pacamara,Fazenda Santa Clara,Smokey,Espresso
Gesha,Fazenda Santa Clara,Fruity,Hario V60
Maragogipe,São Sebastião do Paraíso,Citrusy,Clever
Mundo Novo,Fazenda São Luiz,Sweet Aftertaste,French Press
Yellow Bourbon,Carmo de Minas,Nutty,Italiana
Red Bourbon,Fazenda Serrinha,Smooth Finish,Espresso
Ethiopian Heirloom,Fazenda Vista Alegre,Nutty,Hario V60
Villalobos,Patrocínio,Rich Flavor,Clever
Java,São Sebastião do Paraíso,Full Body,French Press
Blue Mountain,Fazenda São Luiz,Spicy,Italiana
Kona,Itamogi,Earthy,Espresso
Typica,Fazenda Vista Alegre,Fruity,Hario V60
Bourbon,São Sebastião do Paraíso,Balanced,Clever
Caturra,Três Pontas,Caramel,French Press
Catuai,Lavras,Caramel,Italiana
SL28,Fazenda São Luiz,Fruity,Espresso
SL34,Patrocínio,Smokey,Hario V60
Pacamara,Fazenda Serrinha,Smooth Finish,Clever
Gesha,Fazenda Monte Verde,Chocolatey,French Press
Maragogipe,Serra Negra,Smokey,Italiana
Mundo Novo,Fazenda Serrinha,Floral,Espresso
Yellow Bourbon,Araguari,Citrusy,Hario V60
Red Bourbon,Fazenda São Luiz,Full Body,Clever
Ethiopian Heirloom,Fazenda Vista Alegre,Fruity,French Press
Villalobos,Fazenda Serrinha,Citrusy,Italiana
Java,Itamogi,Fruity,Espresso
Blue Mountain,Poços de Caldas,Sweet Aftertaste,Hario V60
Kona,Fazenda Boa Esperança,Chocolatey,Clever
Typica,Carmo de Minas,Smokey,French Press
Bourbon,Fazenda Vista Alegre,Rich Flavor,Italiana
Caturra,Patrocínio,Smokey,Espresso
Catuai,Santa Rita do Sapucaí,Caramel,Hario V60
SL28,Santa Rita do Sapucaí,Chocolatey,Clever
SL34,Serra Negra,Smooth Finish,French Press
Pacamara,Fazenda Boa Esperança,Smooth Finish,Italiana
Gesha,Fazenda Primavera,Fruity,Espresso
Maragogipe,Três Pontas,Caramel,Hario V60
Mundo Novo,São Sebastião do Paraíso,Nutty,Clever
Yellow Bourbon,Itamogi,Caramel,French Press
Red Bourbon,Patrocínio,Rich Flavor,Italiana
Ethiopian Heirloom,São Sebastião do Paraíso,Floral,Espresso
Villalobos,Araguari,Smooth Finish,Hario V60
Java,Fazenda Santa Clara,Nutty,Clever
Blue Mountain,Araguari,Balanced,French Press
Kona,São Sebastião do Paraíso,Caramel,Italiana
Typica,Araguari,Caramel,Espresso
Bourbon,Patrocínio,Earthy,Hario V60
Caturra,Fazenda Vista Alegre,Sweet Aftertaste,Clever
Catuai,Itamogi,Balanced,French Press
SL28,Carmo de Minas,Earthy,Italiana
SL34,Araguari,Chocolatey,Espresso
Pacamara,Santa Rita do Sapucaí,Sweet Aftertaste,Hario V60
Gesha,Fazenda Serrinha,Bright Acidity,Clever
Maragogipe,Guaxupé,Bright Acidity,French Press
Mundo Novo,Santa Rita do Sapucaí,Earthy,Italiana
Yellow Bourbon,Fazenda Paraíso,Chocolatey,Espresso
Red Bourbon,Fazenda Monte Verde,Bright Acidity,Hario V60
Ethiopian Heirloom,Araguari,Full Body,Clever
Villalobos,Serra Negra,Nutty,French Press
Java,Três Pontas,Floral,Italiana
Blue Mountain,Patrocínio,Chocolatey,Espresso
Kona,Patrocínio,Full Body,Hario V60
Typica,Varginha,Chocolatey,Clever
Bourbon,Itamogi,Sweet Aftertaste,French Press
Caturra,Três Pontas,Balanced,Italiana
Catuai,Carmo de Minas,Chocolatey,Espresso
SL28,Fazenda Santa Clara,Bright Acidity,Hario V60
SL34,Fazenda Paraíso,Chocolatey,Clever
